,Book Name,Author,Link,Publisher,Date of Publish,ISBN,Pages
34,The Age of Innocence,Edith Wharton ,/books/17515/the-age-of-innocence/9780140189704.html,Imprint: Penguin Classics,Published: 30/05/1996,ISBN: 9780140189704,Length: 368  Pages
35,Things Fall Apart,Chinua Achebe ,/books/55499/things-fall-apart/9780141023380.html,Imprint: Penguin Classics,Published: 26/01/2006,ISBN: 9780141023380,Length: 208  Pages
36,Middlemarch,George Eliot ,/books/60337/middlemarch/9780141439549.html,Imprint: Penguin Classics,Published: 30/01/2003,ISBN: 9780141439549,Length: 880  Pages
37,Midnight's Children,Salman Rushdie ,/books/1031500/midnight-s-children/9780099582076.html,Imprint: Vintage,Published: 03/01/2013,ISBN: 9780099582076,Length: 672  Pages
38,The Iliad,Homer ,/books/35081/the-iliad/9780140444445.html,Imprint: Penguin Classics,Published: 27/08/1987,ISBN: 9780140444445,Length: 528  Pages
39,Vanity Fair,William Makepeace Thackeray ,/books/60352/vanity-fair/9780141199542.html,Imprint: Penguin Classics,Published: 07/03/2013,ISBN: 9780141199542,Length: 912  Pages
40,Brideshead Revisited,Evelyn Waugh ,/books/56538/brideshead-revisited/9780141182483.html,Imprint: Penguin Classics,Published: 30/03/2000,ISBN: 9780141182483,Length: 464  Pages
41,The Catcher in the Rye,J.D.Salinger ,/books/21252/the-catcher-in-the-rye/9780241950432.html,Imprint: Penguin,Published: 04/03/2010,ISBN: 9780241950432,Length: 240  Pages
42,Alice's Adventures in Wonderland,Lewis Carroll ,/books/283239/alice-s-adventures-in-wonderland/9780141361345.html,Imprint: Puffin,Published: 02/04/2015,ISBN: 9780141361345,Length: 192  Pages
43,The Mill on the Floss,George Eliot ,/books/60341/the-mill-on-the-floss/9780141439624.html,Imprint: Penguin Classics,Published: 27/02/2003,ISBN: 9780141439624,Length: 640  Pages
44,Barchester Towers,Anthony Trollope ,/books/1102375/barchester-towers/9780099595885.html,Imprint: Vintage Classics,Published: 02/04/2015,ISBN: 9780099595885,Length: 544  Pages
45,Another Country,James Baldwin ,/books/57370/another-country/9780141186375.html,Imprint: Penguin Classics,Published: 11/09/2001,ISBN: 9780141186375,Length: 448  Pages
46,Les Misérables,Victor Hugo ,/books/291037/les-miserables/9780241248744.html,Imprint: Penguin Classics,Published: 26/11/2015,ISBN: 9780241248744,Length: 1456  Pages
47,Charlie and the Chocolate Factory (Colour Edition),Roald Dahl ,/books/59398/charlie-and-the-chocolate-factory--colour-edition-/9780141378558.html,Imprint: Puffin,Published: 13/09/2016,ISBN: 9780141378558,Length: 160  Pages
48,The Outsiders,S.E. Hinton ,/books/57559/the-outsiders/9780141189116.html,Imprint: Penguin Classics,Published: 05/04/2007,ISBN: 9780141189116,Length: 160  Pages
49,The Count of Monte Cristo,Alexandre Dumas ,/books/35482/the-count-of-monte-cristo/9780141392462.html,Imprint: Penguin Classics,Published: 29/11/2012,ISBN: 9780141392462,Length: 1312  Pages
50,Ulysses,James Joyce ,/books/57043/ulysses/9780141182803.html,Imprint: Penguin Classics,Published: 30/03/2000,ISBN: 9780141182803,Length: 1040  Pages
51,East of Eden,John Steinbeck ,/books/26145/east-of-eden/9780241980354.html,Imprint: Penguin,Published: 06/07/2017,ISBN: 9780241980354,Length: 736  Pages
